Month,articleID,abstract,byline,documentType,headline,keywords,multimedia,newDesk,printPage,pubDate,Month,source,typeOfMaterial,webURL,articleWordCount
Jan-17,586b762c95d0e03926078b8f,,By BEVERLY GAGE,article,Power Down,"['Presidential Election of 2016', 'United States Politics and Government']",1,Magazine,11,1/3/17 10:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/magazine/how-elites-became-one-of-the-nastiest-epithets-in-american-politics.html,1288
Jan-17,586b763e95d0e03926078b93,,By ELLEN BARRY,article,"Fraud Culture Rises in India, Aiming at U.S.","['India', 'Telephones and Telecommunications', 'Frauds and Swindling', 'Ahmedabad (India)', 'Internal Revenue Service', 'United States']",1,Foreign,1,1/3/17 10:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/world/asia/india-call-centers-fraud-americans.html,2350
Jan-17,586b855895d0e03926078baf,,By JONATHAN WOLFE,article,"New York Today: New Year, New Commute",['New York City'],1,Metro,0,1/3/17 11:04,Jan-17,The New York Times,briefing,https://www.nytimes.com/2017/01/03/nyregion/new-york-today-new-year-new-commute-second-avenue-subway.html,1049
Jan-17,586b924d95d0e03926078bc5,,By LESLEY ALDERMAN,article,The Year of Conquering Negativity,"['Psychology and Psychologists', 'Pessimism', 'Therapy and Rehabilitation', 'Anxiety and Stress', 'Happiness']",1,Science,4,1/3/17 12:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/well/mind/the-year-of-conquering-negative-thinking.html,963
Jan-17,586b94c695d0e03926078bc9,,By SHANNON DOYNE,article,Questions for: ‘Leave Your Laptops at the Door to My Classroom’,[],1,Learning,0,1/3/17 12:10,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/learning/questions-for-leave-your-laptops-at-the-door-to-my-classroom.html,289
Jan-17,586b9cbd95d0e03926078bdb,,By SHANNON DOYNE,article,What Are Your Predictions for 2017?,[],1,Learning,0,1/3/17 12:44,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/learning/what-are-your-predictions-for-2017.html,492
Jan-17,586bac1e95d0e03926078bf5,,By GRETCHEN REYNOLDS,article,Is Your Workout Not Working?,"['Exercise', 'Research', 'PLoS One (Journal)', ""Queen's University"", 'University of Ottawa']",1,Science,4,1/3/17 13:50,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/well/move/is-your-workout-not-working-maybe-youre-a-non-responder.html,947
Jan-17,586bc2d995d0e03926078c1f,,By ERIC LIPTON and MATT FLEGENHEIMER,article,House G.O.P. Abandons Bid to Stifle Ethics Office,"['United States Politics and Government', 'House of Representatives', 'Office of Congressional Ethics', 'Ethics and Official Misconduct', 'Republican Party', 'Trump, Donald J']",1,National,1,1/3/17 15:27,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/us/politics/trump-house-ethics-office.html,1305
Jan-17,586bdace95d0e03926078c5f,,By NICHOLAS BAKALAR,article,Pregnancy: Pre-eclampsia and Eye Trouble,"['Preeclampsia', 'Eyes and Eyesight', 'Pregnancy and Childbirth']",1,Science,4,1/3/17 17:09,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/well/family/pregnancy-complication-tied-to-eye-problems-later-in-life.html,213
Jan-17,586bdf2195d0e03926078c64,,By JIM RUTENBERG,article,"A Fox News Pillar’s Jump to NBC Will Test Her, and the Networks","['Fox News Channel', 'NBC News', 'Kelly, Megyn', 'News and News Media', 'Lack, Andrew', 'Television']",1,Business,1,1/3/17 17:27,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/03/business/media/megyn-kelly-nbc-fox-news.html,1339
Jan-17,587059b895d0e0392607972b,,By CAITLIN LOVINGER,article,Wishful Thinkers,['Crossword Puzzles'],1,Games,0,1/7/17 3:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/06/crosswords/wishful-thinkers.html,650
Jan-17,58705c7995d0e0392607972d,,By GAIL COLLINS,article,Arms  and  the Trump,"['Gun Control', 'Murders, Attempted Murders and Homicides', 'Trump, Donald J', 'United States Politics and Government', 'Fort Lauderdale (Fla)', 'Terrorism', 'Airports', 'National Rifle Assn', 'Firearms']",1,OpEd,19,1/7/17 3:11,Jan-17,The New York Times,Op-Ed,https://www.nytimes.com/2017/01/06/opinion/arms-and-the-trump.html,823
Jan-17,5870762995d0e03926079740,,By RORY SMITH,article,Leicester City Learns Magic Goes Only So Far,"['English Premier League', 'Leicester City (Soccer Team)', 'Soccer']",1,Sports,1,1/7/17 5:01,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/07/sports/soccer/leicester-city-premier-league.html,1210
Jan-17,5870f2eb95d0e039260797a8,,By JAN HOFFMAN,article,"To Evaluate a Dog’s Smarts, Humans Pick Up New Tricks","['Dogs', 'Current Directions in Psychological Science', 'Intelligence and Intelligence Tests (IQ)', 'Research']",1,Science,1,1/7/17 13:53,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/07/well/family/dogs-intelligence.html,1575
Jan-17,5870f3c195d0e039260797a9,,"By SUSANNE CRAIG, JO BECKER and JESSE DRUCKER",article,A Second Empire by Trump’s Side,"['Conflicts of Interest', 'Kushner, Jared', 'Wu Xiaohui', 'Anbang Insurance Group Co', 'Kushner Cos', 'Trump, Donald J', 'China', 'United States Politics and Government', 'Real Estate (Commercial)']",1,National,1,1/7/17 13:57,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html,3637
Jan-17,5870f46995d0e039260797ab,,By DEB AMLEN,article,A Little Variety,['Crossword Puzzles'],0,Games,0,1/7/17 14:00,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/07/crosswords/a-little-variety-spelling-bee-answers.html,62
Jan-17,5871105995d0e039260797c3,,By NEIL IRWIN,article,Major Changes Loom for Corporate Taxes,"['Corporate Taxes', 'Taxation', 'International Trade and World Market', 'United States Economy']",1,SundayBusiness,5,1/7/17 15:59,Jan-17,The New York Times,News,https://www.nytimes.com/2017/01/07/upshot/the-major-potential-impact-of-a-corporate-tax-overhaul.html,1215
Jan-17,5871140c95d0e039260797c9,2017 really isn’t 2010.,By PAUL KRUGMAN,blogpost,Unknown,[],1,OpEd,0,1/7/17 16:15,Jan-17,The New York Times,Blog,https://krugman.blogs.nytimes.com/2017/01/07/the-shock-of-the-normal/,575
